,average_volume,pair,volume_rank
349,22117.914716395364,RLC/ETH,368.0
350,15300.408481030681,QLC/BNB,394.0
351,18201.025999229736,QTUM/BNB,383.0
352,29933.278725772336,FUN/ETH,338.0
353,32811.258214098394,GTO/ETH,333.0
354,18271.974747289165,VIBE/ETH,381.0
355,31481.093822579584,STORJ/ETH,335.0
356,19635.324350586692,BCD/ETH,374.0
357,18435.525789747284,GTO/BNB,380.0
358,84878.6505725,LINK/USDC,270.0
359,18639.328418871875,BLZ/BNB,379.0
360,26034.585390091986,SC/ETH,353.0
361,26451.278426249995,TRX/USDC,350.0
362,54071.26988066667,XLM/PAX,299.0
363,27222.253803844,OAX/ETH,347.0
364,28741.575195414785,RCN/BNB,342.0
365,27174.040438587315,OST/ETH,348.0
366,22328.781780869456,SNT/ETH,366.0
367,18256.869286114026,LSK/ETH,382.0
368,28078.9208283972,QLC/ETH,344.0
369,16604.687021066668,BSV/USDC,389.0
370,22347.690929343593,PPT/ETH,365.0
371,38453.85056379867,BQX/ETH,319.0
372,11810.649674834442,XZC/ETH,400.0
373,300894.7846028319,BNT/ETH,189.0
374,9711.697998140542,XZC/BNB,411.0
375,9961.738105000368,ARDR/ETH,408.0
376,39659.91731422657,LEND/ETH,317.0
377,6533.141934619734,BTS/BNB,424.0
378,15881.843376158953,KEY/ETH,391.0
379,7531.8930752734595,CND/BNB,420.0
380,31313.121574983335,BTT/TUSD,336.0
381,5457.824864086208,MCO/BNB,429.0
382,31868.306395898104,AION/BNB,334.0
383,20455.963339755526,PIVX/ETH,372.0
384,10459.595385464308,GNT/BNB,405.0
385,24710.614681416668,TRX/PAX,357.0
386,11364.8408261624,LSK/BNB,401.0
387,14053.731043319807,POWR/BNB,397.0
388,38058.83087981667,BCH/PAX,321.0
389,22132.9753726935,BRD/ETH,367.0
390,43860.92925919791,YOYOW/ETH,311.0
391,21488.10222685364,AMB/ETH,369.0
392,51403.78468481042,ENG/ETH,301.0
393,16963.093373731033,BTS/ETH,387.0
394,18918.988935030033,CND/ETH,376.0
395,17505.417712797418,DNT/ETH,384.0
396,10606.114809336785,OST/BNB,404.0
397,26399.27818268395,STRAT/ETH,351.0
398,13528.06043755486,NAS/ETH,398.0
399,6405.7553217917675,CVC/BNB,426.0
400,29046.981850883833,REQ/ETH,341.0
401,16677.580473304068,QSP/ETH,388.0
402,16593.33246431078,NXS/BNB,390.0
403,3972.258672947058,NAS/BNB,437.0
404,21306.51314207548,STORM/BNB,371.0
405,7515.445766275,BSV/PAX,421.0
406,6426.647252960215,ZEN/BNB,425.0
407,10376.759404603008,BTG/ETH,406.0
408,49095.335488272285,NULS/ETH,305.0
409,14200.544136372193,CMT/BNB,396.0
410,9296.133740113333,RDN/BNB,412.0
411,24146.26262715,BTT/PAX,359.0
412,13018.766994075,BTT/USDC,399.0
413,5756.706115686476,AGI/BNB,427.0
414,15074.980536450576,CVC/ETH,395.0
415,18824.309854132818,CDT/ETH,377.0
416,19538.545292045634,TNT/ETH,375.0
417,9751.609791066008,EDO/ETH,410.0
418,0.0,USDC/BNB,441.0
419,9075.228288511918,YOYOW/BNB,414.0
420,4120.8962897500005,WAVES/USDC,435.0
421,8287.643743183018,RLC/BNB,417.0
422,42596.65318066636,NULS/BNB,313.0
423,37329.61940121461,HC/ETH,325.0
424,8528.051245526225,PIVX/BNB,416.0
425,5182.912148876941,NEBL/BNB,430.0
426,11029.225051416259,NEBL/ETH,402.0
427,9001.914178019308,ZEN/ETH,415.0
428,5506.736254682334,NAV/ETH,428.0
429,4553.693803587342,QSP/BNB,432.0
430,38354.75750466667,BSV/TUSD,320.0
431,4161.702979717125,NCASH/BNB,433.0
432,4104.781593033734,ARDR/BNB,436.0
433,7889.374585949558,AMB/BNB,418.0
434,7884.192943444775,SNM/ETH,419.0
435,4159.479101333333,WAVES/PAX,434.0
436,9754.961035181224,BRD/BNB,409.0
437,2037.241276767617,NAV/BNB,439.0
438,9291.61137291516,VIA/ETH,413.0
439,4947.65837,LINK/PAX,431.0
440,15524.504565333684,DATA/ETH,392.0
441,2152.8287026130747,VIA/BNB,438.0
